layout_id,layout_name,trans_types,pos,len,field,desc
3.1.8,主機帳務回傳 (交易別 11),11,191,2,INST,分期主機 (代號 04)
3.1.8,主機帳務回傳 (交易別 11),11,193,12,INST_Sale_Amount,銷售總金額 (含小費)
3.1.8,主機帳務回傳 (交易別 11),11,205,12,INST_Refund_Amount,退貨總金額
3.1.8,主機帳務回傳 (交易別 11),11,217,12,INST_Void_Amount,取消總金額
3.1.8,主機帳務回傳 (交易別 11),11,229,3,INST_Sale_Count,銷貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,232,3,INST_Refund_Count,退貨筆數
3.1.8,主機帳務回傳 (交易別 11),11,235,3,INST_Void_Count,取消筆數
3.1.8,主機帳務回傳 (交易別 11),11,238,363,Filler,保留
3.1.9,"紅利交易 (交易別 80, 81)","80,81",1,2,Trans_Type,交易別
3.1.9,"紅利交易 (交易別 80, 81)","80,81",3,2,Host_ID,銀行別
3.1.9,"紅利交易 (交易別 80, 81)","80,81",5,6,Invoice_No,EDC 簽單調閱編號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",11,19,Card_No,信用卡卡號 (左靠右補空白)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",30,4,Card_Expire_Date,信用卡有效期 (全部空白)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",34,12,Trans_Amount,交易金額
3.1.9,"紅利交易 (交易別 80, 81)","80,81",46,6,Trans_Date,交易日期
3.1.9,"紅利交易 (交易別 80, 81)","80,81",52,6,Trans_Time,交易時間
3.1.9,"紅利交易 (交易別 80, 81)","80,81",58,9,Approval_No,授權碼 (左靠右補空白)
3.1.9,"紅利交易 (交易別 80, 81)","80,81",67,6,Redeem_ActNum,紅利活動編號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",73,1,Redeem_Config,紅利折抵說明
3.1.9,"紅利交易 (交易別 80, 81)","80,81",74,2,Redeem_Response,紅利折抵結果回應碼
3.1.9,"紅利交易 (交易別 80, 81)","80,81",76,1,Redeem_Balance_Sign,紅利餘額點數正負號
3.1.9,"紅利交易 (交易別 80, 81)","80,81",77,2,Filler,保留
3.1.9,"紅利交易 (交易別 80, 81)","80,81",79,4,ECR_Response_Code,通訊回應碼
